"drg","dc","pcl_min","pcl_max"
12060,1206,0,3
12061,1206,4,9
12070,1207,0,0
12071,1207,1,9
12080,1208,0,3
12081,1208,4,9
12500,1250,0,3
12501,1250,4,9
12510,1251,0,3
12511,1251,4,4
12512,1251,5,9
12520,1252,0,2
12521,1252,3,4
12522,1252,5,5
12523,1252,6,9
12540,1254,0,3
12541,1254,4,9
12559,1255,0,9
12560,1256,0,1
12561,1256,2,2
12562,1256,3,9
12579,1257,0,9
12580,1258,0,1
12581,1258,2,9
12590,1259,0,3
12591,1259,4,5
12592,1259,6,9
13010,1301,0,5
13011,1301,6,9
13020,1302,0,2
13021,1302,3,3
13022,1302,4,9
13039,1303,0,9
13050,1305,0,2
13051,1305,3,4
13052,1305,5,6
13053,1305,7,9
13060,1306,0,0
13061,1306,1,1
13062,1306,2,9
13070,1307,0,2
13071,1307,3,3
13072,1307,4,9
13089,1308,0,9
13090,1309,0,0
13091,1309,1,1
13092,1309,2,4
13093,1309,5,9
13109,1310,0,9
13110,1311,0,2
13111,1311,3,3
13112,1311,4,9
13129,1312,0,9
13130,1313,0,1
13131,1313,2,9
13149,1314,0,9
13169,1316,0,9
13200,1320,0,1
13201,1320,2,9
13210,1321,0,0
13211,1321,1,9
13500,1350,0,3
13501,1350,4,6
13502,1350,7,9
13510,1351,0,0
13511,1351,1,9
13520,1352,0,3
13521,1352,4,9
13530,1353,0,2
13531,1353,3,9
13540,1354,0,1
13541,1354,2,2
13542,1354,3,9
13550,1355,0,2
13551,1355,3,4
13552,1355,5,5
13553,1355,6,9
13569,1356,0,9
13570,1357,0,2
13571,1357,3,3
13572,1357,4,4
13573,1357,5,9
13580,1358,0,2
13581,1358,3,3
13582,1358,4,9
13590,1359,0,1
13591,1359,2,9
13600,1360,0,3
13601,1360,4,5
13602,1360,6,9
13620,1362,0,4
13621,1362,5,6
13622,1362,7,7
13623,1362,8,9
13639,1363,0,9
13640,1364,0,1
13641,1364,2,9
13650,1365,0,1
13651,1365,2,9
14010,1401,0,1
14011,1401,2,3
14012,1401,4,4
14013,1401,5,5
14014,1401,6,9
14020,1402,0,1
14021,1402,2,9
14040,1404,0,1
14041,1404,2,9
14050,1405,0,1
14051,1405,2,3
14052,1405,4,4
14053,1405,5,9
14070,1407,0,0
14071,1407,1,9
14089,1408,0,9
14100,1410,0,1
14101,1410,2,9
14110,1411,0,1
14111,1411,2,9
14120,1412,0,1
14121,1412,2,2
14122,1412,3,9
14500,1450,0,0
14501,1450,1,9
14510,1451,0,0
14511,1451,1,9
14520,1452,0,0
14521,1452,1,1
14522,1452,2,2
14523,1452,3,4
14524,1452,5,9
14530,1453,0,2
14531,1453,3,9
14540,1454,0,1
14541,1454,2,2
14542,1454,3,9
14550,1455,0,3
14551,1455,4,9
14560,1456,0,1
14561,1456,2,9
14579,1457,0,9
14580,1458,0,7
14581,1458,8,9
14590,1459,0,0
14591,1459,1,9
14600,1460,0,1
14601,1460,2,5
14602,1460,6,9
26529,2652,0,9
15010,1501,0,2
15011,1501,3,9
15020,1502,0,1
15021,1502,2,9
15030,1503,0,0
15031,1503,1,1
15032,1503,2,9
15049,1504,0,9
15050,1505,0,1
15051,1505,2,2
15052,1505,3,9
15060,1506,0,1
15061,1506,2,2
15062,1506,3,9
15070,1507,0,1
15071,1507,2,2
15072,1507,3,9
15080,1508,0,1
15081,1508,2,2
15082,1508,3,9
15090,1509,0,0
15091,1509,1,1
15092,1509,2,9
15100,1510,0,1
15101,1510,2,2
15102,1510,3,3
15103,1510,4,9
15119,1511,0,9
15129,1512,0,9
15500,1550,0,0
15501,1550,1,1
15502,1550,2,3
15503,1550,4,9
15519,1551,0,9
15520,1552,0,1
15521,1552,2,9
15530,1553,0,0
15531,1553,1,1
15532,1553,2,9
15540,1554,0,1
15541,1554,2,2
15542,1554,3,3
15543,1554,4,5
15544,1554,6,9
