"CODE,C,6","ORP,C,1","ORPTYPE,C,1","SEX,C,1","SITE,C,1","PROCGR,N,1,0","PROCLEV,N,2,0","PCPART,N,1,0","EXTLEV,N,1,0","EXTTYPE,C,1","MMDC,C,2","OMDCS,C,20","MOSPROC,N,1,0","MOSDC,C,4","MOSHIERAR,C,2","JSSITE,C,1","DESC,C,26","DRGUSE,L","MAYUN,L"
0473,Y,E,B,-,4,46,0,0,,01,,0,,,,Access-hypogloss anastom,จริง,
0474,Y,E,B,J,4,41,0,0,,01,"03,21",0,,,,Periph nerv anastom NEC,จริง,
0475,Y,E,B,J,3,36,0,0,,01,21,0,,,,Postop revis per nerv op,จริง,
0476,Y,E,B,J,3,39,0,0,,01,"03,21",0,,,,Late repair per nerv inj,จริง,
0479,Y,E,B,J,3,37,0,0,,01,21,0,,,,Other neuroplasty,จริง,
0480,P,U,B,-,0,0,0,0,,--,,0,,,,Periph nerve inject NOS,เท็จ,
0481,P,U,B,-,0,0,0,0,,--,,0,,,,Anesth injec periph nerv,เท็จ,
0489,P,U,B,-,0,0,0,0,,--,,0,,,,Periph nerve inject NEC,เท็จ,
0491,Y,E,B,-,2,30,0,0,,01,,0,,,,Neurectasis,จริง,
0492,Y,E,B,-,3,32,0,0,,01,,0,,,,Imp/repl peri stim lead,จริง,
0493,Y,E,B,-,2,30,0,0,,01,,0,,,,Removal peri stim lead,จริง,
0499,Y,N,B,-,3,36,0,0,,01,08,0,,,,Peripheral nerve ops NEC,จริง,
050,Y,E,B,-,2,26,0,0,,01,,0,,,,Sympath nerve division,จริง,
0511,Y,E,B,-,3,33,0,0,,01,,0,,,,Sympathetic nerve biopsy,จริง,
0519,Y,E,B,-,2,26,0,0,,01,,0,,,,Sympath nrv dx proc NEC,จริง,
0521,Y,E,B,-,3,32,0,0,,01,,0,,,,Sphenopalatin ganglionec,จริง,
0522,Y,E,B,-,2,30,0,0,,01,,0,,,,Cervical sympathectomy,จริง,
0523,Y,N,B,-,2,30,0,0,,01,05,0,,,,Lumbar sympathectomy,จริง,
0524,Y,E,B,-,2,30,0,0,,13,,0,,,,Presacral sympathectomy,จริง,
0525,Y,E,B,-,2,30,0,0,,05,,0,,,,Periart sympathectomy,จริง,
0529,Y,E,B,-,4,42,0,0,,01,05,0,,,,Other sympathectomy,จริง,
0531,P,U,B,-,0,0,0,0,,--,,0,,,,Anesth inject symp nerve,เท็จ,
0532,P,U,B,-,0,0,0,0,,--,,0,,,,Neurolyt injec-symp nrv,เท็จ,
0539,P,U,B,-,0,0,0,0,,--,,0,,,,Sympath nerve inject NEC,เท็จ,
0581,Y,E,B,J,3,37,0,0,,01,,0,,,,Sympathetic nerve repair,จริง,
0589,Y,E,B,-,3,36,0,0,,01,,0,,,,Sympathetic nerve op NEC,จริง,
059,Y,E,B,-,3,33,0,0,,01,,0,,,,Other nervous system ops,จริง,
0601,P,U,B,-,0,0,0,0,,--,,0,,,,Thyroid field aspiration,เท็จ,
0602,Y,N,B,-,3,34,0,0,,10,21,0,,,,Reopen thyroid field wnd,จริง,
0609,Y,E,B,-,3,35,0,0,,10,"03,09,21",0,,,,Incis thyroid field NEC,จริง,
